Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [QL] Wins,AI2 [QL] Losses,AI2 [QL] Draws,AI2 [QL] Win Percentage,AI2 [QL] Cumulative Game Reward,AI2 [QL] Reward/Game Average
2491,943,1436,112,0.379,-86000,-34.524,1436,943,112,0.576,86000,34.524
2492,944,1436,112,0.379,-85600,-34.35,1436,944,112,0.576,85600,34.35
2493,944,1437,112,0.379,-85700,-34.376,1437,944,112,0.576,85700,34.376
2494,944,1438,112,0.379,-86100,-34.523,1438,944,112,0.577,86100,34.523
2495,944,1439,112,0.378,-86500,-34.669,1439,944,112,0.577,86500,34.669
2496,944,1440,112,0.378,-86700,-34.736,1440,944,112,0.577,86700,34.736
2497,944,1441,112,0.378,-86800,-34.762,1441,944,112,0.577,86800,34.762
2498,944,1442,112,0.378,-87000,-34.828,1442,944,112,0.577,87000,34.828
2499,945,1442,112,0.378,-86600,-34.654,1442,945,112,0.577,86600,34.654
2500,946,1442,112,0.378,-86000,-34.4,1442,946,112,0.577,86000,34.4
2501,947,1442,112,0.379,-85800,-34.306,1442,947,112,0.577,85800,34.306
2502,947,1443,112,0.378,-86000,-34.373,1443,947,112,0.577,86000,34.373
2503,947,1444,112,0.378,-86100,-34.399,1444,947,112,0.577,86100,34.399
2504,947,1445,112,0.378,-86300,-34.465,1445,947,112,0.577,86300,34.465
2505,947,1446,112,0.378,-86500,-34.531,1446,947,112,0.577,86500,34.531
2506,947,1447,112,0.378,-86900,-34.677,1447,947,112,0.577,86900,34.677
2507,947,1448,112,0.378,-87300,-34.822,1448,947,112,0.578,87300,34.822
2508,947,1449,112,0.378,-87500,-34.888,1449,947,112,0.578,87500,34.888
2509,947,1450,112,0.377,-87900,-35.034,1450,947,112,0.578,87900,35.034
2510,947,1451,112,0.377,-88300,-35.179,1451,947,112,0.578,88300,35.179
2511,948,1451,112,0.378,-88100,-35.086,1451,948,112,0.578,88100,35.086
2512,948,1452,112,0.377,-88300,-35.151,1452,948,112,0.578,88300,35.151
2513,948,1453,112,0.377,-88900,-35.376,1453,948,112,0.578,88900,35.376
2514,948,1454,112,0.377,-89100,-35.442,1454,948,112,0.578,89100,35.442
2515,948,1455,112,0.377,-89500,-35.586,1455,948,112,0.579,89500,35.586
2516,949,1455,112,0.377,-89100,-35.413,1455,949,112,0.578,89100,35.413
2517,950,1455,112,0.377,-88900,-35.32,1455,950,112,0.578,88900,35.32
2518,950,1456,112,0.377,-89300,-35.465,1456,950,112,0.578,89300,35.465
2519,950,1456,113,0.377,-89300,-35.451,1456,950,113,0.578,89300,35.451
2520,951,1456,113,0.377,-89100,-35.357,1456,951,113,0.578,89100,35.357
2521,952,1456,113,0.378,-88900,-35.264,1456,952,113,0.578,88900,35.264
2522,952,1457,113,0.377,-89100,-35.329,1457,952,113,0.578,89100,35.329
2523,952,1458,113,0.377,-89500,-35.474,1458,952,113,0.578,89500,35.474
2524,952,1459,113,0.377,-89700,-35.539,1459,952,113,0.578,89700,35.539
2525,953,1459,113,0.377,-89300,-35.366,1459,953,113,0.578,89300,35.366
2526,953,1460,113,0.377,-89400,-35.392,1460,953,113,0.578,89400,35.392
2527,953,1461,113,0.377,-89800,-35.536,1461,953,113,0.578,89800,35.536
2528,954,1461,113,0.377,-89400,-35.364,1461,954,113,0.578,89400,35.364
2529,954,1462,113,0.377,-89600,-35.429,1462,954,113,0.578,89600,35.429
2530,954,1463,113,0.377,-89900,-35.534,1463,954,113,0.578,89900,35.534
2531,954,1464,113,0.377,-90100,-35.599,1464,954,113,0.578,90100,35.599
2532,954,1465,113,0.377,-90500,-35.742,1465,954,113,0.579,90500,35.742
2533,955,1465,113,0.377,-90300,-35.649,1465,955,113,0.578,90300,35.649
2534,955,1466,113,0.377,-90500,-35.714,1466,955,113,0.579,90500,35.714
2535,955,1467,113,0.377,-90800,-35.819,1467,955,113,0.579,90800,35.819
2536,955,1468,113,0.377,-91200,-35.962,1468,955,113,0.579,91200,35.962
2537,956,1468,113,0.377,-90600,-35.711,1468,956,113,0.579,90600,35.711
2538,956,1469,113,0.377,-90800,-35.776,1469,956,113,0.579,90800,35.776
2539,956,1470,113,0.377,-90900,-35.801,1470,956,113,0.579,90900,35.801
2540,957,1470,113,0.377,-90600,-35.669,1470,957,113,0.579,90600,35.669
2541,957,1471,113,0.377,-90900,-35.773,1471,957,113,0.579,90900,35.773
2542,957,1472,113,0.376,-91100,-35.838,1472,957,113,0.579,91100,35.838
2543,957,1473,113,0.376,-91500,-35.981,1473,957,113,0.579,91500,35.981
2544,957,1474,113,0.376,-91900,-36.124,1474,957,113,0.579,91900,36.124
2545,957,1475,113,0.376,-92000,-36.149,1475,957,113,0.58,92000,36.149
2546,957,1476,113,0.376,-92200,-36.214,1476,957,113,0.58,92200,36.214
2547,958,1476,113,0.376,-92000,-36.121,1476,958,113,0.58,92000,36.121
2548,958,1477,113,0.376,-92400,-36.264,1477,958,113,0.58,92400,36.264
2549,959,1477,113,0.376,-92200,-36.171,1477,959,113,0.579,92200,36.171
2550,959,1478,113,0.376,-92400,-36.235,1478,959,113,0.58,92400,36.235
2551,959,1479,113,0.376,-92600,-36.299,1479,959,113,0.58,92600,36.299
2552,959,1480,113,0.376,-93000,-36.442,1480,959,113,0.58,93000,36.442
2553,960,1480,113,0.376,-92600,-36.271,1480,960,113,0.58,92600,36.271
2554,960,1481,113,0.376,-93000,-36.413,1481,960,113,0.58,93000,36.413
2555,961,1481,113,0.376,-92800,-36.321,1481,961,113,0.58,92800,36.321
2556,961,1481,114,0.376,-92800,-36.307,1481,961,114,0.579,92800,36.307
2557,961,1482,114,0.376,-93000,-36.371,1482,961,114,0.58,93000,36.371
2558,961,1483,114,0.376,-93200,-36.435,1483,961,114,0.58,93200,36.435
2559,962,1483,114,0.376,-92800,-36.264,1483,962,114,0.58,92800,36.264
2560,963,1483,114,0.376,-92400,-36.094,1483,963,114,0.579,92400,36.094
2561,964,1483,114,0.376,-92000,-35.923,1483,964,114,0.579,92000,35.923
2562,964,1484,114,0.376,-92400,-36.066,1484,964,114,0.579,92400,36.066
2563,964,1485,114,0.376,-92800,-36.208,1485,964,114,0.579,92800,36.208
2564,964,1486,114,0.376,-93000,-36.271,1486,964,114,0.58,93000,36.271
2565,965,1486,114,0.376,-92600,-36.101,1486,965,114,0.579,92600,36.101
2566,965,1487,114,0.376,-93000,-36.243,1487,965,114,0.58,93000,36.243
2567,965,1488,114,0.376,-93400,-36.385,1488,965,114,0.58,93400,36.385
2568,965,1489,114,0.376,-94000,-36.604,1489,965,114,0.58,94000,36.604
2569,966,1489,114,0.376,-93800,-36.512,1489,966,114,0.58,93800,36.512
2570,966,1490,114,0.376,-94200,-36.654,1490,966,114,0.58,94200,36.654
2571,966,1491,114,0.376,-94400,-36.717,1491,966,114,0.58,94400,36.717
2572,966,1492,114,0.376,-94800,-36.858,1492,966,114,0.58,94800,36.858
2573,966,1493,114,0.375,-95200,-37,1493,966,114,0.58,95200,37
2574,967,1493,114,0.376,-95000,-36.908,1493,967,114,0.58,95000,36.908
2575,967,1494,114,0.376,-95200,-36.971,1494,967,114,0.58,95200,36.971
2576,967,1495,114,0.375,-95300,-36.995,1495,967,114,0.58,95300,36.995
2577,967,1496,114,0.375,-95500,-37.059,1496,967,114,0.581,95500,37.059
2578,967,1497,114,0.375,-95800,-37.161,1497,967,114,0.581,95800,37.161
2579,967,1498,114,0.375,-96000,-37.224,1498,967,114,0.581,96000,37.224
2580,967,1499,114,0.375,-96200,-37.287,1499,967,114,0.581,96200,37.287
2581,968,1499,114,0.375,-95800,-37.117,1499,968,114,0.581,95800,37.117
2582,969,1499,114,0.375,-95200,-36.871,1499,969,114,0.581,95200,36.871
2583,969,1500,114,0.375,-95400,-36.934,1500,969,114,0.581,95400,36.934
2584,970,1500,114,0.375,-95000,-36.765,1500,970,114,0.58,95000,36.765
2585,971,1500,114,0.376,-94800,-36.673,1500,971,114,0.58,94800,36.673
