Position,Previous_Action,Strength,Action,Result
SB,1,STRAIGHT,Raise,1600
BB,1,THREE_OF_A_KIND,Raise,-1500
BB,1,THREE_OF_A_KIND,Call,-1500
SB,0,THREE_OF_A_KIND,Call,950
BB,0,THREE_OF_A_KIND,Raise,1110
SB,1,THREE_OF_A_KIND,Check,-1100
BB,1,THREE_OF_A_KIND,Raise,-1000
BB,1,FULL_HOUSE,Raise,1500
BB,1,FULL_HOUSE,Call,1500
SB,1,FULL_HOUSE,Check,1500
BB,1,HIGH_CARD,Check,1100
SB,1,HIGH_CARD,Check,950
BB,0,HIGH_CARD,Check,-1200
BB,0,HIGH_CARD,Call,-1200
BB,0,HIGH_CARD,Check,-900
BB,0,HIGH_CARD,Check,-900
BB,0,HIGH_CARD,Check,750
SB,1,HIGH_CARD,Raise,950
SB,1,HIGH_CARD,Check,-700
SB,1,HIGH_CARD,Raise,500
BB,0,ONE_PAIR,Check,800
BB,0,ONE_PAIR,Check,-800
SB,0,ONE_PAIR,Raise,800
SB,0,ONE_PAIR,Call,450
BB,0,TWO_PAIR,Check,-1200
SB,1,TWO_PAIR,Check,-750
SB,1,THREE_OF_A_KIND,Check,-775
BB,1,TWO_PAIR,Check,1250
BB,1,TWO_PAIR,Call,1250
BB,1,ONE_PAIR,Check,-1600
BB,1,ONE_PAIR,Call,-1600
SB,1,STRAIGHT,Reraise,1500
BB,0,TWO_PAIR,Raise,-950
SB,0,TWO_PAIR,Call,-1110
BB,1,TWO_PAIR,Check,1100
SB,1,STRAIGHT,Call,1000
SB,1,THREE_OF_A_KIND,Reraise,-1500
BB,1,THREE_OF_A_KIND,Check,-1500
SB,1,HIGH_CARD,Check,-1100
BB,1,HIGH_CARD,Check,-950
SB,0,ONE_PAIR,Raise,1200
SB,0,ONE_PAIR,Raise,900
SB,0,HIGH_CARD,Check,-750
BB,1,ONE_PAIR,Check,-950
BB,1,ONE_PAIR,Call,-950
BB,1,ONE_PAIR,Check,700
BB,1,HIGH_CARD,Check,-500
BB,1,HIGH_CARD,Fold,-500
SB,0,HIGH_CARD,Check,-800
SB,0,HIGH_CARD,Check,800
BB,0,HIGH_CARD,Check,-800
BB,0,HIGH_CARD,Call,-800
BB,0,HIGH_CARD,Raise,-450
SB,0,THREE_OF_A_KIND,Check,1200
BB,1,THREE_OF_A_KIND,Check,750
